Sanskrit Word,Transliteration,Meaning,Page Number
नरकस्य,narakasya,of hell,94
नरकाय,narakaaya,for the hell,94
नरके,narake,in hell,94
नरपुङ्गवः,narapu.ngavaH,hero in human society,94
नरलोकवीराः,naralokaviiraaH,kings of human society,94
नरसिंह,narasi.nha,the man-lion or fourth incarnation of Vishnu,94
नराधमाः,naraadhamaaH,lowest among mankind,94
नराधमान्‌,naraadhamaan.h,the lowest of mankind,94
नराधिपं,naraadhipaM,the king,94
नरैः,naraiH,by men,94
नकं,narka,Hell,94
नतंकी,nartakii, danseuse  or  a female dancer,94
नतंन,nartana,Dance,94
नलिनी,nalinii,lotus,94
नलिनीदलगत,naliniidalagata, lotus petal reached or gone,94
नवं,navaM,a boat,94
नवकमलदल,navakamaladala,newly blossomed lotus petal ,94
नवद्वारे,navadvaare,in the place where there are nine gates,94
नवमि,navami,Ninth Tithi of the Moon,94
नववस्तु,navavastu,New article,94
नवांश,navaa.nsha,A Varga  The Ninth divisional harmonic and used for reading the delineations of the spouse,94
नवानि,navaani,new garments,94
नवीनम्‌,naviinam.h,new,94
नवैः,navaiH, new,94
नश्यति,nashyati,to perish or  to be destroyed,94
नश्यात्सु,nashyaatsu,being annihilated,94
नश्वर,nashvara,Temporary,94
नष्ट,nashhTa,Destroyed or missing birth data or A method of calculating the Chart when  one has missing data,94
नष्टः,nashhTaH,scattered,95
नष्टान्‌,nashhTaan.h,all ruined,95
नष्टे,nashhTe,being destroyed,95
नह्यति,nahyati,to bind,95
नक्षत्र,nakShatra,A division of the Zodiac into 27 parts,95
नक्षत्रम्‌,nakShatram.h, constellation,95
नक्षत्राणां,nakShatraaNaaM,of the stars,95
नाकं,naaka,heaven or sky,95
नाग,naaga,snake,95
नागफणी,naagaphaNii,cactus,95
नागबन्ध,naagabandha,cobra pattern or  a form of poetry,95
नागवल्लि,naagavalli,the paan  or betel leaf,95
नागानां,naagaanaaM,of the manyhooded serpents,95
नागाशन,naagaashana,peacock  or whose food is snakes ,95
नागेन्द्र,naagendra,elephant,95
नाटक,naaTaka, a play  or  drama,95
नाडी,naaDii,a channel within the subtle body,95
नाडीशोधन,naaDiishodhana,the purification of the nadis,95
नाणकम्‌,naaNakam.h, coin,95
नाथ,naath,lord,95
नाथ,naatha,Protector,95
नाथाय,naathaaya,to the protector or lord,95
नाद,naada,Sound,95
नादः,naadaH,the sound,95
नादत्ते,naadatte,does not wear,95
नादब्रह्म,naadabrahma,Blissful tone,95
नाना,naanaa,many,95
नानाविधानि,naanaavidhaani,variegated,95
नानृतं,naanRitaM, not untruth,95
नान्तं,naantaM,no end,95
नान्यं,naanyaM,no other,95
नान्यगामिना,naanyagaaminaa,without their being deviated,95
नाभिं,naabhiM,navel,95
नाभिपेदासन,naabhipedaasana,the upward ankle-twist posture,95
नाभीदेशं,naabhiideshaM,navel region or country,95
नाम,naama,Name,96
नामन्‌,naaman.h,name,96
नामभिः,naamabhiH,the names of rAma,96
नामयति,naamayati,to bend,96
नायकाः,naayakaaH,captains,96
नारङ्फलम्‌,naara.ngaphalam.h,orange,96
नारदः,naaradaH,Narada,96
नारसिंही,naarasi.nhii,pertaining to Narasimha,96
नारायणः,naaraayaNaH,Lord Narayana,96
नारिकेल,naarikela,coconut,96
नारिकेलः,naarikelaH, coconut,96
नारिकेलम्‌,naarikelam.h,coconut,96
नारी,naarii,female,96
नारीणां,naariiNaaM,of women,96
नायः,naaryaH,women,96
नालः,naalaH, tap,96
नालिका,naalikaa, pipe,96
नाव,naava,a boat,96
नावासन,naavaasana,the boat posture,96
नाश,naasha,destruction,96
नाशः,naashaH,loss,96
नाशनं,naashanaM,the destroyer,96
नाशनम्‌,naashanam.h,destroyer,96
नाशयति,naashayati,destroys,96
नाशाय,naashaaya,for destruction,96
नाष,naashha,destruction,96
नासाभ्यन्तर,naasaabhyantara,within the nostrils,96
नासिका,naasikaa,nose,96
नास्ति,naasti, not there,96
नि,ni,down,96
निज्ञविद्‌,ni+vid.h,to tell,96
निज्ञवृत्‌,ni+vRit.h,to go away,96
निः,niH,without,96
निःशेष,niHsheshha,remainderless,96
निःश्रेणिका,niHshreNikaa,ladder,96
निःश्रेयसकरौ,niHshreyasakarau,leading to the path of liberation,96
निःस्पृहः,niHspRihaH,desireless,96
निःस्वन,niHsvana,silent  or without sound,97
निकः,nikaH,rays,97
निकृष्ट,nikRishhTa,inferior,97
निगच्छति,nigachchhati,attains,97
निगडः,nigaDaH,handcuffs,97
निगमः,nigamaH,corporation,97
निगूढा,niguuDhaa,cast in,97
निगृह्णामि,nigRihNaami,withhold,97
निग्रह,nigrahaM,subduing,97
निचुद्रायत्रीच्छदः,nichRidgaayatriichchha.ndaH,the prosody form 18 ,97
निचोलः,nicholaH, skirt,97
निज,nija,one’s own,97
निजकमे,nijakarma, one’s duty or normal work,97
नितं,nitaM,has been led,97
नित्य,nitya,always,97
नित्यं,nityaM,daily  or always,97
नित्यः,nityaH,eternal,97
नित्यजातं,nityajaataM,always born,97
नित्यत्वं,nityatvaM,constancy,97
नित्यम्‌,nityam.h,ever,97
नित्ययुक्तः,nityayuktaH,always engaged,97
नित्ययुक्ताः,nityayuktaaH,perpetually engaged,97
नित्यवैरिण,nityavairiNa,by the eternal enemy,97
नित्यशः,nityashaH,regularly,97
नित्यसत्त्वस्थः,nityasattvasthaH,in a pure state of spiritual existence,97
नित्यस्य,nityasya,eternal in existence,97
नित्याः,nityaaH,in eternity,97
निदिध्यासन,nididhyaasana,meditation and contemplation,97
निदोलः,nidolaH, pendulum,97
निद्रा,nidraa,sleep,97
निद्राभिः,nidraabhiH,and sleep,97
निधनं,nidhanaM,destruction,97
निधनानि,nidhanaani,when vanquished,97
निधानं,nidhaanaM,resting place,97
निधानिका,nidhaanikaa,cupboard or almariah,97
निधि,nidhi,reservoir or treasure,97
निनाद,ninaada,sound,97
निन्द्‌,nind.h,to condemn,97
निन्दति,nindati, to blame,97
निन्दन्तः,nindantaH,while vilifying,97
निन्दा,nindaa,in defamation,98
निपान,nipaana, a pond,98
निपूणः,nipuuNaH,skilled,98
निबद्ध,nibaddha,tied down from bandh,98
निबद्धः,nibaddhaH,conditioned,98
निबध्चन्ति,nibadhnanti,bind,98
निबध्राति,nibadhnaati,binds,98
निबध्यते,nibadhyate,becomes affected,98
निबध्नन्ति,nibadhnanti,do bind,98
निबन्धाय,nibandhaaya,for bondage,98
निबोध,nibodha,just take note of or be informed,98
निमज्जति,nimajjati,to drown,98
निमित्तमात्रं,nimittamaatraM,just the cause,98
निमित्तानि,nimittaani,causes,98
निमिषन्‌,nimishhan.h,closing,98
निमीलित,nimiilita,closed,98
निमेषात्‌,nimeshhaat.h,in the twinkling of the eye,98
निम्नगा,nimnagaa,river,98
निम्ब,nimba,neem,98
नियत,niyata,Discipline,98
नियतं,niyataM,always,98
नियतमनसः,niyatamanasaH,with a regulated mind,98
नियतस्य,niyatasya,prescribed,98
नियताः,niyataaH,controlled,98
नियतात्मभिः,niyataatmabhiH,by the self-controlled,98
नियन्ता,niyantaa,controller,98
नियम,niyama,self-purification through discipline,98
नियमं,niyamaM,regulations,98
नियमादेव,niyamaadeva,control alone,98
नियमित,niyamita,regular or constant,98
नियम्य,niyamya,regulating,98
नियोजन,niyojana,planning,98
नियोजय,niyojaya,make ready,98
नियोजयसि,niyojayasi,You are engaging,98
नियोजितः,niyojitaH,engaged,98
निरञ्जन,niraJNjana,pure or free from falsehood,98
निरतः,nirataH,engaged,98
निरतियश,niratiyasha, unsurpassed or  perfect,98
निरपवादः,nirapavaadaH,free from blemish,98
निरयन,nirayana,Sidereal or fixed Zodiac without precession,98
निरर्थकं,nirarthakaM,needlessly,99
निरस्त,nirasta,removed,99
निरहङ्कारः,niraha.nkaaraH,without false ego,99
निरङ्कुशता,nira Nkushataa,despotism,99
निरामय,niraamaya, healthy or disease-free,99
निरालम्ब,niraalamba,unsupported,99
निराशीः,niraashiiH,without desire for profit,99
निराश्रयः,niraashrayaH,without any shelter,99
निराहारस्य,niraahaarasya,by negative restrictions,99
निरिक्षक,nirikShaka,inspector or  observer,99
निरिक्षण,nirikShaNa,inspection,99
निरीह,niriiha,the desireless person,99
निरीहता,niriihataa,Lack of desire,99
निरीक्षे,niriikShe,may look upon,99
निरुद्ध,niruddhaM,being restrained from matter,99
निरुध्य,nirudhya,confining,99
निरोध,nirodha,control or restraint,99
निगुणं,nirguNaM,without material qualities,99
निर्गुणत्वात्‌,nirguNatvaat.h,due to being transcendental,99
निघात,nirghaata,trauma,99
निर्दालन,nirdaalana,Destruction,99
निदिशति,nirdishati,to indicate or to point out,99
निदेशः,nirdeshaH,indication,99
निदैशकः,nirdeshakaH,director,99
निर्दोषं,nirdoshhaM,flawless,99
निधन,nirdhana,poor,99
निधेनयोग,nirdhanayoga,Combinations for poverty,99
निधूत,nirdhuuta,cleansed,99
निभर,nirbhara,dependent,99
निर्ममः,nirmamaH,without a sense of proprietorship,99
निमल,nirmala,clear,99
निर्मलं,nirmalaM,purified,99
निमा,nirmaa,to create,99
निमितवतः,nirmitavataH,of the author,99
निर्मुक्ताः,nirmuktaaH,free from,99
निमूलन,nirmuulana,uprootment,99
निर्मोहत्वं,nirmohatvaM,non-infatuated state or clearheadedness,99
निर्यातः,niryaataH,export,100
निर्योगक्षेमः,niryogakShemaH,free from ideas of gain and protection,100
निलिंप्त॒,nirlipta,unstainedness,100
निर्वाचन,nirvaachana,election,100
निवांण,nirvaaNa,freedom of the personal soul from the physical world,100
निवांणपरमां,nirvaaNaparamaaM,cessation of material existence,100
निर्वात,nirvaata, windless,100
निवांपयति,nirvaapayati,to douse,100
निर्वाहकः,nirvaahakaH,conductor,100
निविकारः,nirvikaaraH,without change,100
निर्विचार,nirvichaara,non-investigational meditation,100
निविंतकं,nirvitarka,non-inspectional meditation,100
निर्विशेष,nirvisheshha,Ordinary,100
निवृतिं,nirvRitiM,non-engagement or non-performance or  release from bondage or salvation,100
निर्वेदं,nirvedaM,callousness,100
निर्वैरः,nirvairaH,without an enemy,100
निलिम्प,nilimpa,a pictured one who is a god,100
निवतंते,nivarta.nte,return,100
निवतंते,nivartate,he ceases from,100
निवतंन्ति,nivartanti,they come back,100
निवतंन्ते,nivartante,come back,100
निवतिंतुं,nivartituM,to cease,100
निवसति,nivasati,lives or dwells,100
निवसिष्यसि,nivasishhyasi,you will live,100
निवह,nivaha,flow,100
निवहेन,nivahena,by carrying,100
निवातस्थः,nivaatasthaH,in a place without wind,100
निवास,nivaasa,residence,100
निवासः,nivaasaH,living,100
निवृत्तिं,nivRittiM,not acting improperly,100
निवेशय,niveshaya,apply,100
निशा,nishaa,Night,100
निशाचर,nishaachara,animals who roam around in the dark or night,100
निशाचरचमू,nishaacharachamuu,the army of the night-wanderers or demons,100
निशित,nishita,sharpened,100
निशीथ,nishiitha,night,100
निशेक,nisheka,Coital Chart,100
निश्चय,nishchaya,determination,100
निश्चयं,nishchayaM,certainty,100
निश्चयः,nishchayaH,in certainty,100
निश्चयेन,nishchayena,with firm determination,100
निश्चलतत्त्वं,nishchalatattvaM,tranquillity or imperturbability,100
निश्चलति,nishchalati,becomes verily agitated,101
निश्चला,nishchalaa,unmoved,101
निश्चायकप्रमाणेन,nishchaayakapramaaNena,thro’confirmation and proof,101
निशित,nishchita,determined or  ascertained,101
निशितं,nishchitaM,confidently,101
निशिताः,nishchitaaH,having ascertained,101
निष्कासयति,nishhkaasayati,to remove or to take off,101
निष्कोषयति,nishhkoshhayati,to peel,101
निष्ठा,nishhThaa,trust,101
निष्ठीवति,nishhThiivati,to spit,101
निष्पावः,nishhpaavaH,peas,101
निष्पीडयति,nishhpiiDayati,to squeeze,101
निस्पृहः,nispRihaH,devoid of desire,101
निस्सङत्वं,nissa.ngatvaM,aloneness or non-attachment  or detachment,101
निस्स्पृह,nisspRiha,one who has no desire,101
निहताः,nihataaH,killed,101
निहन्‌,nihan.h,destroy,101
निक्षेपणय,nikShepaNaya,for putting down  or the next step,101
नी,nii,to take,101
नीच,niicha,the inferior man,101
नीचं,niichaM,low,101
नीचभङ्ग,niichabha.nga,neechabhanga Raja Yoga or  A combination whereby a debilitated planet by virtue of its placement and association of relevant planets can reverse and bestow great wealth and power,101
नीचमनी,niichamanii,Evil minded,101
नीत,niita,taken,101
नीतिः,niitiH,morality,101
नीरज,niiraja,lotus,101
नीरदाभम्‌,niiradaabham.h,bearing a resemblance to rain-bearing cloud ,101
नीरुज,niiruja,free from disease,101
नीरे,niire,water,101
नील,niila,blue,101
नीललोहितः,niilalohitaH,navy blue colour,101
नीलाब्ज,niilaabja,blue lotus,101
नीलोत्पलश्यामं,niilotpalashyaamaM,bearing the bluish black colour of blue lilies,101
नु,nu,of course,101
नुत॒,nuta,praised,101
नूनं,nuunaM,really,101
नृत्यति,nRityati, to dance,102
नुप,nRipa, king,102
नृपत्व,nRipatva,The title of king,102
नशंस,nRisha.nsa,wicked,102
नुषु,nRishhu,in men,102
ने,ne,not,102
नेता,netaa,leader,102
नेति,neti,not so,102
नेतियोग,netiyoga,cleansing of the nostrils,102
नेत्त,netRittva,leadership,102
नेत्र,netra,eye,102
नेत्रं,netraM,eyes,102
नेयं,neyaM,is to be lead or taken,102
नैव,naiva,never is it so,102
नैशा,naishaa,no  this,102
नेष्कम्यं,naishhkarmyaM,freedom from reaction,102
नैष्कर्म्यकर्म,naishhkarmyakarma,actionless action,102
नेष्कर्म्यसिद्धि,naishhkarmyasiddhiM,the perfection of nonreaction,102
नैष्कृतिकः,naishhkRitikaH,expert in insulting others,102
नैष्ठिकीं,naishhThikiiM,unflinching,102
नैसर्गिकबल,naisargikabala,Natural strength and a part of Shad Bala or Six strength,102
नो,no,nor,102
नौ,nau,us,102
नौका,naukaa,Boat,102
नौकीलकम्‌,naukiilakam.h,anchor,102
नौलि,nauli,an abdominal exercise ,102
न्याय,nyaaya,justice,102
न्यायवादी,nyaayavaadii,lawyer,102
न्याय्यं,nyaayyaM,right,102
न्यास,nyaasa,set,102
न्यासं,nyaasaM,renunciation,102
पक,pa.nka,mud,102
पगु,pa.ngu,cripple,102
पंच,pa.ncha,five,102
पंचत्वंगं,pa.nchatva.ngaM,to die,102
पंचमः,pa.nchamaH,the fifth,102
पंडितः,pa.nDitaH,learned person,102
पंथा,pa.nthaa,way,102
पंथाः,pa.nthaaH, path or  way,103
पंथानः,pa.nthaanaH,ways; paths,103
पक्वं,pakvaM,ripe,103
पक्षवाद्यं,pakShavaadyaM,pakhaavaj,103
पङ्क,pa.nka,mud,103
पङ्क्ति,pa.nkti,spectrum,103
पङ्क्तिदर्शी,pa.nktidarshii,spectroscope,103
पङ्क्तिमापी,pa.nktimaapiil,spectrometer,103
पङ्क्तिलेखा,pa.nktilekhaa,spectrograph,103
पचति,pachati,to cook,103
पचन्ति,pachanti,prepare food,103
पचामि,pachaami,I digest,103
पच्यन्ते,pachyante,are cooked ,103
पञ्च,paJNcha,five,103
पञ्चमं,paJNchamaM,the fifth,103
पट,paTa,spectrogram,103
पटगृहम्‌,paTagRiham.h, a tent,103
पट्‌,paTu, skilled or  clever,103
पट्‌,paTh.h,to read,103
पठनं,paThanaM,reading,103
पठनीया,paThaniiyaa,should be read,103
पठामि,paThaami,read,103
पठित्वा,paThitvaa,after reading,103
पटेत्‌,paThet.h,may read,103
पण,paNa,Play,103
पणन,paNana,bargain,103
पणनयोग्य,paNanayogya,marketable,103
पणनयोग्यता,paNanayogyataa,marketability,103
पणवानक,paNavaanaka,small drums and kettledrums,103
पण्डित,paNDita,learned man,103
पण्डितं,paNDitaM,learned,103
पण्डिताः,paNDitaaH,the learned,103
पण्दित,paNdita,the wise man,103
पत्‌,pat.h,to fall,103
पतग,pataga,Bird,103
पतङ्गाः,pata.ngaaH,moths,103
पतति,patati,to fall,103
पतत्रिन्‌,patatrin.h,bird,103
पतन,patana,falling,103
पतन्ति,patanti,fall down,103
पतये,pataye,husband,103
पति,pati,husband,103
पतिगृहं,patigRihaM,husband’s house,103
पतितं,patitaM,fallen ,104
पतिरेक,patireka,He is the One Lord,104
पत्नि,patni,wife,104
पत्नी,patnii,wife,104
पत्युः,patyuH,Lord’s,104
पत्रं,patraM,a leaf,104
पत्रकारः,patrakaaraH,journalist,104
पत्रता,patrataa,eligibility,104
पत्रपेटिका,patrapeTikaa,letter box,104
पत्रम्‌,patram.h,a letter or  note,104
पत्रवाहः,patravaahaH, postman,104
पत्रालयम्‌,patraalayam.h,post office,104
पथ्‌,path.h,road,104
पथि,pathi,on the path,104
पथिक,pathika,traveller,104
पथ्य,pathya,suitable,104
पद,pada,step,104
पदं,padaM,the step,104
पदकम्‌,padakam.h,medal,104
पदानि,padaani,words or steps,104
पदेः,padaiH,by the aphorisms,104
पदोन्नतिः,padonnatiH,promotion,104
पद्धति,paddhati,method,104
पद्धति,paddhati,system,104
पद्धति,paddhati, mode,104
पद,padma,lotus,104
पद्यनाभ,padmanaabha,a name of Vishnu,104
पद्यपत्रं,padmapatraM,a lotus leaf,104
पदच्यासन,padmaasana,the lotus posture,104
पदाक्षं,padmaakShaM,lotus eyed,104
पनपरः,panaparaH,Succedant houses or  Houses 2 and 5 and   8 and 11,104
पनसफलम्‌,panasaphalam.h, jackfruit,104
पन्कजस्थीत,pankajasthiita, gutter fallen,104
पन्वमी,panchamii,Fifth lunar Tithi,104
पन्चाङ्ग,panchaa.nga,Fivefold method of forecasting or Also the name of a Vedic Astrological almanae it is based upon vara nakshtra tithi karNa and yoga,104
पन्थ,pantha,sects or based on the word path,104
पन्थः,panthaH,wayfarer,104
पपकतेरियोग,papakartariyoga,Hemmed in between 2 malefics,104
पयस्‌,payas.h,water,104
पयोद,payoda,cloud  or one who gives water,104
पयोधर,payodhara,cloud,104
पयोधि,payodhi,sea or ocean,105
पयोधी,payodhii,sea  or one that stores water ,105
पर्‌,para,other,105
परपीडा,parapiiDaa,harrasment of others,105
पर,paraM,better,105
परतप,para.ntapa, O chastiser of the enemies,105
परपरा,paraMparaa,tradition,105
परः,paraH,in the next life,105
परतः,parataH,superior,105
परतर,parataraM,superior,105
परतरः,parataraH,later,105
परदेश,paradesha,foreign land or foreign country,105
परदेशसहम,paradeshasahama,Sensitive point related to foreign travel,105
परदेशी,paradeshii,alien,105
परधमः,paradharmaH,duties prescribed for others,105
परन्तप,parantapa,O Arjuna or  subduer of the enemies,105
परन्तपः,parantapaH,the chastiser of the enemies,105
परन्तु,parantu,but or on the other hand,105
परप्रकाशित,paraprakaashita,reflectively illumined like planets or moon,105
परम,parama,highest or  the utmost or most excellent,105
परमं,paramaM,supreme,105
परमः,paramaH,perfect,105
परमहस,paramaha.nsa,a highest spiritual or discriminatory state from Swan,105
परमा,paramaa,greatest,105
परमां,paramaaM,the supreme,105
परमाः,paramaaH,the highest goal of life,105
परमात्म,paramaatma,the Supersoul,105
परमात्मन्‌,paramaatman.h,The soul within the Divine sphere,105
परमात्मा,paramaatmaa,the supreme spirit,105
परमाधिकारः,paramaadhikaaraH,prerogative,105
परमानन्द,paramaananda,one who leads to the greatest happiness,105
परमेश,paramesha,God,105
परमेश्वर,parameshvara,O Supreme Lord,105
परमेश्वरं,parameshvaraM,the Supersoul,105
परमेष्वासः,parameshhvaasaH,the great archer,105
परम्परा,paramparaa,by disciplic succession,105
परया,parayaa,of a high grade,105
परशुः,parashuH,axe,105
परशुराम,parashuraama,sixth incarnation of Vishnu,105
परस्तात्‌,parastaat.h,transcendental,105
परस्पर,paraspara,mutually,106
परस्परं,parasparaM,mutually,106
परस्य,parasya,to others,106
परहस्ते,parahaste, in other person’s hand,106
परह्यः,parahyaH,day before yesterday,106
परा,paraa,beyond or higher,106
परां,paraaM,transcendental,106
पराक्रम,paraakrama,valor,106
पराक्रमः,paraakramaH,the daring warrior,106
पराक्रमाणां,paraakramaaNaaM,of valients,106
पराङ्गमुखी,paraa.ngmukhii,facing inwards,106
पराणि,paraaNi,superior,106
पराबोधावस्था,paraabodhaavasthaa,supramental,106
परामानसशास्त्र,paraamaanasashaastra,parapsychology,106
परायणं,paraayaNaM,the one to be worshipped,106
परायणः,paraayaNaH,being so destined,106
परायणाः,paraayaNaaH,so inclined,106
पराध,paraardha,other end,106
पराशर,paraashara,Maharishi Parashar One of the Fathers of Vedic Astrology and the author of the text which is the basis  for the most commonly used astrological system in india,106
परि,pari,sufficiently,106
परिकरः,parikaraH,attempt,106
परिकीर्तितः,parikiirtitaH,is declared,106
परिक्लिष्टं,pariklishhTaM,grudgingly,106
परिगीयमान,parigiiyamaana,singing,106
परिग्रह,parigraha,hoarding,106
परिग्रह,parigrahaM,and acceptance of material things,106
परिग्रहः,parigrahaH,sense of proprietorship over possessions,106
परिघ,parigha,a bolt for shutting a gate,106
परिघासन,parighaasana,the locked gate posture,106
परिचय,parichaya,familiarity,106
परिचयात्‌,parichayaat.h,from familiarity or from knowing the facts,106
परिचयं,paricharya,service,106
परिचक्षते,parichakShate,is called,106
परिचिन्तयन्‌,parichintayan.h,thinking of,106
परिद्धिन्न,parichhinna,precise or literally  or  cut around ,106
परिणाम,pariNaama,effect,106
परितोष,paritoshha,satisfaction,106
परित्यक्त,parityakta,deprived of,106
परित्यज्‌,parityaj.h,to sacrifice,106
परित्यज्य,parityajya,abandoning,106
परित्यागी,parityaagii,renouncer,107
परित्राणाय,paritraaNaaya,for the deliverance,107
परिदह्यते,paridahyate,is burning,107
परिदेवना,paridevanaa,lamentation,107
परिद्रोहः,paridrohaH,insurrection,107
परिनियमः,pariniyamaH,statute,107
परिपक्वता,paripakvataa,maturity,107
परिपन्थिनौ,paripanthinau,stumbling blocks,107
परिपालनं,paripaalanaM,observance or governance,107
परिपालय,paripaalaya,please maintain and cultivate,107
परिपूर्ण,paripuurNa,full,107
परिपृच्छा,paripRichchhaa,enquiry,107
परिप्रश्नेन,pariprashnena,by submissive inquiries,107
परिमाण,parimaaNa,quantity,107
परिमार्गितव्यं,parimaargitavyaM,has to be searched out,107
परिमिति,parimiti, limits or boundary,107
परिलोभनं,parilobhanaM,enticement,107
परिवतंन,parivartana,Exchange of two signs,107
परिवर्तनं,parivartanaM, transformation or  change,107
परिवतिन्‌,parivartin.h,one that changes,107
परिवारः,parivaaraH, relatives or  family,107
परिवेषयति,pariveshhayati,to serve food,107
परिवेष,pariveshhTRi,attendent,107
परिशान्ता,parishaantaa,that gives peace or solace,107
परिशिष्टं,parishishhTaM, appendix,107
परिशुष्यति,parishushhyati,is drying up,107
परिसमप्यते,parisamapyate,end,107
परिहारः,parihaaraH,compensation,107
परिहासः,parihaasaH,joke,107
परिह,parihRi,to abandon,107
परिक्षा,parikShaa,examination,107
परिक्षा,parikShaa,test,107
परीक्षते,pariikShate,to examine,107
परीक्षा,pariikShaa,test,107
परुश,parusha, rough,107
परे,pare,in the lofty or high or supreme,107
परोपकार,paropakaara,benefitting others,108
परोपकाराय,paropakaaraaya,for helping others or for doing good to others,108
परोपदेशे,paropadeshe,in advising others,108
पजंन्यः,parjanyaH,rain,108
पर्जन्यात्‌,parjanyaat.h,from rains,108
पणं,parNa,leaf,108
पर्णानि,parNaani,the leaves,108
पयन्तं,paryantaM,including,108
पर्याप्तं,paryaaptaM,limited,108
पयुपासते,paryupaasate,worship perfectly,108
पयुंषितं,paryushhitaM,decomposed,108
पव॑त,parvata,mountain,108
पवतासन,parvataasana,the mountain posture,108
पल,pala,Moment,108
पलायितुं,palaayituM,to run away,108
पलितं,palitaM,ripened,108
पल्लवं,pallavaM,leaf or petal,108
पवतां,pavataaM,of all that purifies,108
पवन,pavana,breeze,108
पवनः,pavanaH,air or breath,108
पवनमुक्तासन,pavanamuktaasana,the knee squeeze posture,108
पवित्रं,pavitraM,sanctified,108
पशु,pashu,animal,108
पशुभिः,pashubhiH,animals,108
पञ्चात्‌,pashchaat.h,later,108
पश्चाद्धन्त,pashchaaddhanta,later on in the end,108
पश्चिम,pashchima,west or  the back of the body,108
पश्य,pashya,see ,108
पश्यतः,pashyataH,for the introspective,108
पश्यति,pashyati,sees,108
पश्यन्‌,pashyan.h,seeing,108
पश्यन्ति,pashyanti,see,108
पश्यन्नपि,pashyannapi,even after seeing,108
पश्यात्मानं,pashyaatmaanaM,see your own self,108
पश्याम,pashyaama,we see,108
पश्यामि,pashyaami,I see,108
पश्येत्‌,pashyet.h,see,108
पश्येमाक्षभिः,pashyemaakShabhiH,May we see through the eyes,108
पश्येमाक्षभिर्यजत्राः,pashyemaakShabhiryajatraaH,may we see with eyes ,109
पक्ष,pakSha, political party or fortnight,109
पक्षबल,pakShabala,Strength based on the Lunar phases or Used in Shad Bala calculations,109
पक्षयोः,pakShayoH,to the parties,109
पक्षिणाअं,pakShiNaaM,of birds,109
पक्षिन्‌,pakShin.h,bird,109
पक्ष्म,pakShma,eyelid,109
पञ्चतन्त्री,pa nchatantrii, banjo or bulbul tarang,109
पा,paa,to bless,109
पांडित्यं,paa.nDityaM,punditry or  expertise or scholarliness,109
पाकशाला,paakashaalaa, kitchen,109
पाकसिद्धी,paakasiddhii,cooking,109
पाञ्चजन्यं,paaJNchajanyaM,the conchshell named Pancajanya,109
पाञ्चालिका,paaJNchaalikaa, doll,109
पाटलम्‌,paaTalam.h,rose flower,109
पाठयति,paaThayati,to teach,109
पाठशाला,paaThashaalaa, school,109
पाटीनः,paaThiinaH, prawns,109
पाणि,paaNi,hands,109
पाण्डव,paaNDava,O son of Pandu,109
पाण्डवः,paaNDavaH,Arjuna the son of Pandu,109
पाण्डवाः,paaNDavaaH,the sons of Pandu,109
पाण्डवानां,paaNDavaanaaM,of the Pandavas,109
पाण्डवानीकं,paaNDavaaniikaM,the soldiers of the Pandavas,109
पाण्डित्य,paaNDitya,wisdom,109
पाण्ड्पुत्राणां,paaNDuputraaNaaM,of the sons of Pandu,109
पातकं,paatakaM,sinful reactions,109
पातकमूल,paatakamuula,essentially criminal,109
पातञ्जली,paataJNjalii,author of the Yoga Sutras,109
पाताल,paataala,nether-world,109
पातित,paatita,taken down,109
पातु,paatu,may he protect,109
पातुं,paatuM,infinitive  to drink,109
पात्र,paatra,vessel,109
पात्रे,paatre,to a suitable person,109
पाद,paada,foot,109
पाद,paadaM,and legs,109
पादत्राणम्‌,paadatraaNam.h,shoes,109
पादहस्तासन,paadahastaasana,the balancing forward bend posture,109
पादांशुकम्‌,paadaa.nshukam.h, pyjama,109
पादाङ्गुष्ठ,paadaa.ngushhTha,the big toe,109
पादासन,paadaasana,the foot above posture,109
पादौ,paadau,feet,110
पान,paana,drinking,110
पान्थ,paantha,traveller,110
पाप,paapa,Bad deed,110
पापं,paapaM,sin,110
पापकृत्तमः,paapakRittamaH,the greatest sinner,110
पापघ्नीं,paapaghniiM,which kills the sins ,110
पापजन्य,paapajanya, derived from sin or son of sin ,110
पापयोनयः,paapayonayaH,born of a lower family,110
पापवासनीक्‌,paapavaasaniik.h, desirous of sin,110
पापाः,paapaaH,sinners,110
पापाचरणं,paapaacharaNaM, sin practising,110
पापात्‌,paapaat.h,from sins,110
पापात्मनां,paapaatmanaaM,of the wicked people,110
पापात्मा,paapaatmaa,wicked people or  sinners,110
पापेन,paapena,by sin,110
पापेभ्यः,paapebhyaH,of sinners,110
पापेषु,paapeshhu,unto the sinners,110
पापैः,paapaiH,sin,110
पाप्मानं,paapmaanaM,the great symbol of sin,110
पार,paaraM,limit,110
पारपारिक,paaraMpaarika,traditional,110
पारदशंक,paaradarshaka,transparent or clear,110
पारपत्रं,paarapatraM, passport,110
पारितोषिक,paaritoshhikaM,reward  prize,110
पारुष्यं,paarushhyaM,harshness,110
पाथं,paartha,0 son of Pritha,110
पाथः,paarthaH,Arjuna,110
पार्थस्य,paarthasya,and Arjuna,110
पाथांय,paarthaaya,unto Arjuna,110
पाश्च,paarshva,the side,110
